post_id,url,description,create_time,digg_count,share_count,collect_count,comment_count,play_count,video_duration,hashtags,profile_username,profile_followers,is_verified,region,_search_keyword,_platforms,_match_source,_topic,_transcript
7561548278920252727,https://www.tiktok.com/@whatsnextpolitics/video/7561548278920252727,Midterm Election Update 🚨 #politics #kalshi ,2025-10-15T20:29:31.000Z,71,3,8,5,2443,58,"politics, kalshi",What’s Next,74,False,US,kalshi midterms,"kalshi, prediction_market","description, hashtags, transcript",YES,"The midterm elections are closer than you think. So what are the closest races that'll decide the balance of power in the House? According to Calhoun's prediction market, the Democrats now have a 64% chance of flipping the House, down from an 80% chance in May. Let's go over some of the closest races and seats currently held by the Democrats. First, we have New Mexico's 2nd congressional district that was held by Gabe Vasquez, who only won by 11,000 votes last election. He currently has a 73% chance. Then we have Don Davies from North Carolina's 1st district, who only won by 6,000 votes in 2024. And he currently has a 67% chance of keeping the seat blue. Next up, we have Vincente Gonzalez from Texas's 34th congressional district, who won by just 5,000 votes. The market's only giving him a 41% chance after Texas's tough redistricting. And finally, in one of the closest elections last election, that was only decided by 2,500 votes, we have Jared Golden from Maine's 2nd congressional district, who currently has just a 55% chance of winning re-election."
7412746504315735339,https://www.tiktok.com/@unpopularlogic/video/7412746504315735339,"In a groundbreaking development for U.S. markets, a federal judge's ruling on Friday has paved the way for Americans to legally place trades on the outcome of elections a first in the nation's history. The ruling allows Kalshi, a fully regulated prediction-market, to launch contracts next week enabling users to wager on whether Donald Trump or Kamala Harris will win the Presidential election along with congressional races in November. This decision is a pivotal moment in financial markets and for Kalshi. #trading #election #kalshi #betting #donaldtrump #kamalaharris ",2024-09-09T20:42:28.000Z,3,,0,0,386,,"trading, election, kalshi, donaldtrump, kamalaharris",Unpopular Logic,15400,False,US,kalshi midterms,kalshi,"description, hashtags",YES,Outro
7532603666704993550,https://www.tiktok.com/@whatsnextpolitics/video/7532603666704993550,These 5 races will determine the balance of power in the House We will be releasing updates until Election Day! #kalshi #politics #democrats ,2025-07-29T20:29:54.000Z,158,,9,6,3581,72,"kalshi, politics, democrats",What’s Next,74,False,US,kalshi midterms,"kalshi, prediction_market","description, hashtags, transcript",YES,"The midterm elections are closer than you think. So what are the close races that'll decide the balance of power in the House? According to Calhoun's prediction market, the Democrats have a 68% chance of flipping the House, which sounds good, but this was all the way up at an 83% chance in late April. If the Democrats want to win the House, they can't just hold their seats. They have to flip some, as the current balance of power is 219 Republicans and 212 Democrats. So here are the five closest races and seats currently held by Republicans that the Democrats need to win in 2026. If you know anyone who lives in or near these districts, share this video with them, as the primaries are happening in less than a year. First up, we have Derek Van Orton from Wisconsin's 3rd congressional district, who won by 8,000 votes in 2024. Next up, we have Scott Perry from Pennsylvania's 10th congressional district, who won by just 5,000 votes in last elections. Then we have Ryan McKenzie from Pennsylvania's 7th congressional district, who won by only 4,000 votes. Next up, we have Gabe Evans in Colorado's 8th congressional district, who won by only 3,000 votes. And finally, Marionette Miller-Meeks in Iowa's 1st congressional district, who won by just 800 votes."
7534475156605996301,https://www.tiktok.com/@whatsnextpolitics/video/7534475156605996301,The CLOSEST elections in 2026 👀  #kalshi #politics ,2025-08-03T21:32:12.000Z,52,,2,1,1442,61,"kalshi, politics",What’s Next,74,False,US,kalshi midterms,"kalshi, prediction_market","description, hashtags, transcript",YES,"The midterm elections are much closer than you think. So we have to ask, what are the closest races that'll determine the balance of power in the House? According to Calhoun's prediction market, the Democrats now have a 70% chance of flipping the House. But for this to happen, they will have to hold all of the seats that experts call toss-up seats. So who are the most vulnerable Democrats? But first, if you wanna know what's going to happen next in the political world, make sure to click here to follow. Here are the five closest races and seats currently held by the Democrats. First up, we have Marie Gusenkamp Perez from Washington's 3rd Congressional District who won by 16,000 votes in 2024. Next, Gabe Vasquez from New Mexico's 2nd Congressional District who won by 11,000 votes last election. Then we have Don Davies from North Carolina's 1st Congressional District who won by only 6,000 votes. Next up, we have Vincente Gonzalez from Texas's 34th Congressional District who won by just 5,000 votes. And finally, in one of the closest elections last election, that was only decided by 2,500 votes, we have Jared Golden from Maine's 2nd Congressional District."
7532983812712680718,https://www.tiktok.com/@whatsnextpolitics/video/7532983812712680718,Who could possibly challenge Roy? We will keep you posted on all updates regarding the Senate race in North Carolina #kalshi #politics #northcarolina ,2025-07-30T21:05:01.000Z,147,4,7,1,3278,74,"kalshi, politics, northcarolina",What’s Next,74,False,US,kalshi midterms,"kalshi, prediction_market","description, hashtags, transcript",YES,"The Democrats just scored a massive win this week. Former governor of North Carolina, Roy Cooper, announced that he will run for the Senate in 2026. And he has never lost an election. According to Calhoun's prediction market, the Democrats have a 68% chance of winning this race in 2026. The current Republican Senator, Tom Thillis, announced that he will not run for re-election after butting heads with Trump. Roy Cooper is almost guaranteed to be the Democratic nominee with other Democrats that have considered running already throwing their support behind him. Why does Cooper have this level of support? Cooper served an unprecedented four terms as state attorney general over 16 years before he unseated a Republican incumbent to be elected governor in 2016. He won that election and re-election in 2020 by a larger margin, despite President Trump carrying the state in the presidential election in both years. Now, the Republican Party is terrified. If you Google Roy Cooper right now, the top hit will be a sponsored website funded by the Republican State Leadership Fund that tries to pay Roy Cooper as a radical liberal. Seriously, look it up. It's pretty funny. This is great news for the Democrats and unsettling news for Republicans that will need to find the candidate that can find a way to contend."
7582033775085833527,https://www.tiktok.com/@jessicainskip/video/7582033775085833527,"Prediction markets can be used for more than just tracking expectations, or speculating, they can also help illustrate how investors think about event risk. Markets often react to surprises around economic releases or earnings announcements.  Understanding how expectations shift ahead of these events can help investors think about potential risks in their portfolios. In this video, I walk through how event contracts on Kalshi can be used as an educational example of managing event-driven risk.  These contracts offer a straightforward yes/no format tied to specific events, which can help users explore how different scenarios might impact market sentiment. Event contracts are not suitable for all investors and involve the risk of loss. This video is for educational purposes only and is not investment advice, a recommendation, or a suggestion to buy or sell any security, derivative, or product. Always evaluate your own financial situation and risk tolerance before making any decisions. Kalshi is a regulated event-contracts exchange. Trading involves risk, including the potential loss of your entire position. Past events or outcomes do not guarantee future results. #ad",2025-12-10T01:23:51.000Z,336,27,100,14,18400,86,ad,Jess Inskip,260000,True,US,kalshi midterms,"kalshi, prediction_market","description, transcript",YES,"You're probably using prediction markets wrong. They can be used to hedge your portfolio against event risk. What is event risk? Do you know what moves the markets? Surprises. Positive surprises, like better earnings than expected, can cause a rally. But negative surprises, like the Fed not cutting interest rates like the market expects it to, can cause a sell-off. These are events. Let me show you how to hedge event risk with Calshi. It is all about portfolio positioning. Go to calshi.com, select Economics, and select the event that you would like to hedge. I am choosing the Fed decision in December. I'm going to use this information as a form of soft data to gauge changing rate expectations. If rate expectations are high, I may need to hedge a no-rate-cut scenario, meaning, since the prediction markets expect a cut, if that doesn't happen, we could experience a sell-off. So by buying an event contract based on the Fed not cutting, I can offset my potential portfolio losses that would be triggered by a more restrictive Fed, offset by the gains on this contract. We can apply the same strategy to totally different scenarios, just select yes or no depending on the event that you want to hedge. Put in the dollars based on your personal risk tolerance, which earned 3.5% interest until the event end date. Submit your order, and that's it. Hedging is a way for investors and businesses to offset risk tied to economic events. In the oil industry, you might buy a futures contract that locks in the price of oil if you are afraid it will rise in price due to geopolitical tension or something like that. I'm using Calshi for an alternative to soft data and to hedge event risk. Go check it out."
7608375098726255890,https://www.tiktok.com/@sacred.alpha/video/7608375098726255890,"[EN] It’s official: The Federal Reserve is now using Kalshi to track the economy! In a groundbreaking report released in February 2026, Fed researchers stated that Kalshi markets provide a ""high-frequency, continuously updated benchmark"" that is ""valuable to both researchers and policymakers."" The study found that traders on these platforms are just as accurate as Wall Street's top economists in predicting inflation and interest rates. What was once seen as ""gambling"" is now being hailed by the central bank as an essential tool for real-time economic truth. The world of finance has just entered the era of ""Information Finance."" [ID] Resmi: Federal Reserve kini mulai pakai data Kalshi untuk pantau ekonomi! Dalam laporan besar per Februari 2026, peneliti The Fed menyatakan bahwa pasar Kalshi menyediakan ""benchmark yang diperbarui terus-menerus"" dan ""sangat berharga bagi pembuat kebijakan."" Studi tersebut menemukan bahwa trader di platform ini punya akurasi yang setara dengan ekonom top Wall Street dalam menebak inflasi dan suku bunga. Sesuatu yang dulu dianggap ""judi"" kini diakui oleh bank sentral sebagai alat krusial untuk melihat data ekonomi secara real-time. Dunia keuangan resmi memasuki era ""Information Finance."" #federalreserve #kalshi #predictionmarkets #economics2026 #finance ",2026-02-19T01:01:25.000Z,0,,1,0,734,,"federalreserve, kalshi, predictionmarkets, economics2026, finance",sacredalpha,2377,False,ID,kalshi midterms,kalshi,"description, hashtags",YES,Just show this one on the screen. yes yeah
7560353693929852173,https://www.tiktok.com/@jonaswillett/video/7560353693929852173,"Trade on anything.  Kalshi is the fastest growing prediction market in the world. The company was founded by Tarek Mansour and Luana Lopes Lara, two MIT grads. The predictions market is projected to hit ~$100B by 2035 @Kalshi  __ #kalshi #tech #startups #vc #nyc   ",2025-10-12T15:14:14.000Z,95,4,23,0,5533,60,"kalshi, tech, startups, vc, nyc",jonaswillett,147,False,US,kalshi midterms,"kalshi, prediction_market","description, hashtags, transcript",YES,"Kalshi just raised $300 million at a $5 billion valuation to power degeneracy. Our generation is cooked. Kalshi is the fastest growing prediction market in the world. Basically, it lets you trade on outcomes. Anything from who wins a presidency, to sports, to government shutdowns. Each market has real-time odds that update as people predict what they think will happen. It's one of the first times ever that A16Z and Sequoia have co-led an investment. Kalshi is now in over 140 countries, and they're on pace to hit $50 billion in annualized trading volume. It feels like every big VC is invested in Kalshi, from General Catalyst to Google Ventures to Paradigm. KD and Kevin Hart are investors. The company was founded by two MIT grads, Tarek and Luana. For a while, the future of Kalshi wasn't 100% certain, mostly because the CFTC, the Commodity Futures Trading Commission, hadn't fully approved them. Kalshi was officially cleared in August of 2024, and that presidential election cycle, they absolutely took off. They saw over $500 million in trading volume in just the political markets. Besides being degenerate and having fun, Kalshi actually has a really cool function, which is aggregating massive amounts of data. It can aggregate millions of traders, turning dispersed knowledge into actionable and specific forecasts. Kalshi is estimated to hit almost $100 billion by 2035. I tagged them below, so feel free to check them out."
7619009592462380318,https://www.tiktok.com/@graceatcandid/video/7619009592462380318,Live on Candid #trump #dhs #kalshi #polymarket #candid ,2026-03-19T16:48:37.000Z,1,1,0,0,1,,"trump, dhs, kalshi, polymarket, candid",Grace | Prediction Markets 🔮,24,False,US,kalshi midterms,"kalshi, polymarket","description, hashtags",YES,
7612987779961687318,https://www.tiktok.com/@bfmbusiness/video/7612987779961687318,"Iran/États-Unis : le business morbide des paris sur la guerre 🇮🇷 Sur des plateformes comme Polymarket ou Kalshi, les internautes parient sur la date des prochaines frappes américaines, le nom du futur Guide suprême iranien ou la chute du régime des mollahs, empochant parfois des sommes folles. 🎙️ Nathan Cocquempot #business #economie #sinformersurtiktok #international #iran",2026-03-03T11:20:53.000Z,2991,456,332,23,70900,54,"business, economie, sinformersurtiktok, international, iran",BFM Business,234600,True,FR,polymarket desantis,"kalshi, polymarket","description, transcript",YES,"The U.S. will strike Iran by the... More than 500 million dollars have been bet on this kind of contract on the PolyMarket platform before the strikes on Saturday. Problem, the American law prohibits betting on war, murders or other violent events. The timing is also at the heart of the controversy. 6 bettors identified by an analysis company have each made more than 1 million dollars in profits on these contracts, betting on the exact date of the strikes. A situation reminiscent of the bets around the departure of Nicolas Maduro. An anonymous person had then bet more than 400,000 dollars, betting just before his capture, raising suspicions of criminal offences. After the start of the strikes and the death of Ramenei, the contracts were closed and some users were reimbursed to try to put out the fire. But the controversy continues and several Democratic parliamentarians push to ban this kind of platform. On the side of PolyMarket and Kalshi, all speculation is denied, aiming to take advantage of death."
